	R	RDes	P	PDes	Y	YDes	FaultIn	RRPrediction
72	0.0185510417371919	0.15078308014145	-0.0179772768590471	-0.0954385315306604	0.0582965747726894	-0.0128416113516171	0	0
73	0.28175391763845803	0.410419547501733	-0.316138728107058	-0.0770233491352248	0.008747888976370391	-0.0117679928806467	0	0
74	-0.34008451366242104	-0.46480095042045505	0.28987385261975	0.39585191781886697	-0.0118989950535265	-0.000205869952697107	0	0
75	-0.14796502846106602	0.12000909715405197	0.264698004404822	0.252415831585272	-0.0134176091205518	0.0119750703908713	0	0
76	0.336126286808803	0.526685817219827	0.288952014262708	0.49949146025936103	-0.0211959927156615	0.0197078497555972	0	0
77	0.0705008946906529	-0.0096418201114739	-0.0191819604862558	-0.19326090108304	-0.0394477897744973	0.0377658231961278	0	0
78	-0.0798480611269577	-0.156326028809548	0.0676762497926862	0.451379975288776	-0.0316703369477011	0.04806443444020901	0	0
79	-0.33376347017462393	-0.515285284756125	0.32895847117237	0.230237683915958	-0.0153007588320624	0.0569613904051437	0	0
80	0.0913233877352972	0.213092919830661	0.0744804005099046	0.262842049345229	-0.0183145658225679	0.0541224223287975	0	0
81	0.33338181582119	0.28024378013799606	0.0750028896473913	-0.0592523387928632	0.0242635315143812	0.0509291730080245	0	0
82	0.559370303279949	0.8159351619554742	-0.126713567776004	-0.0752586696429862	0.0343027600745719	0.0277101131323744	0	0
83	0.5950813577146711	0.6068728178463051	-0.417831231243245	-0.189535503613465	0.0597307766418515	0.00225237266341657	0	0
84	0.28233811778731	0.14567615893059102	0.267300809803137	0.42832794360332	0.0334986387089224	-0.0282121311514989	0	0
85	-0.16803050849238096	0.106210840903519	0.00630799066262556	-0.28646016531012	-0.0117530195320954	-0.0332893732710245	0	0
86	0.00994824313702235	0.0734755054479676	-0.0774224839201083	0.0502187731053398	-0.00503855620313334	-0.0487385072133315	0	0
87	0.0360227466760438	0.0710112565893968	-0.017161894053671998	0.0538272952266393	-0.0251773590129391	-0.0510259542872673	0	0
88	0.128564997287836	0.0603349565834649	0.116674679282034	0.0655381898514182	-0.0405065546688371	-0.0530793346345481	0	0
89	-0.0862115539474021	0.0206099693267463	-0.24081634168625002	-0.195910111837099	-0.07616168810891001	-0.0321327546492403	0	0
90	0.0701497907494425	0.135132900622871	0.108604072840339	0.23990372107181895	-0.0617204450720193	-0.0147597324298067	0	0
91	0.15157446172503602	-0.0285259501285381	-0.0995424693505333	-0.22659762180077697	-0.0497894582306551	0.00246864106118421	0	0
92	0.18100808921793804	-0.0988428252888483	0.46702381590734704	0.483356087077758	-0.0301719529081214	0.0101360923430003	0	0
93	0.0932259733315497	0.00100604370391574	-0.0088301397789679	-0.22844140158353002	-0.00898070064345158	0.0150850481531531	0	0
94	-0.222298958839031	-0.30368031553367997	0.359892055673973	0.172081127156728	0.00610815083657722	0.008757568999523421	0	0
95	0.0116198683071879	-4.1071833466627204e-05	0.019650538851948	5.25634417728361e-06	0.0134988872193237	0.00299838117891128	0	0
96	0.240460389103466	0.22086306659737098	0.37638424152700395	0.420949074710961	-0.0131947092645711	0.00103579977991246	0	0
97	-0.00284658320382461	-0.368457942851877	0.0248712520282282	-0.14429336816736402	-0.0118741631805144	0.0141564723777314	0	0
98	-0.191502920394683	-0.168861284553147	-0.0119533438217322	0.153419535145434	0.00825312863888239	0.0113740139021528	0	0
99	-0.25578454662211897	-0.319766254284556	-0.18998243528554898	-0.351922172526938	-0.00166325690041282	0.0161101493353791	0	0
100	-0.136922510924501	-0.19654738582359602	-0.198232067684596	-0.288221844344121	0.0074619911376114295	0.0199000385445876	0	0
101	-0.151436798049729	-0.258790523836288	-0.34683347132692705	-0.292823594597724	0.0106262776238773	0.0262387686407672	0	0
102	0.156382212629861	0.162881158269535	-0.0689145618306498	-0.0904885616257816	0.0114814234511193	0.0296949292623218	0	0
103	-0.21966944160284899	-0.41993977984635494	-0.22521502160565102	-0.258928920485569	0.0055045871598015	0.0372910945596393	0	0
104	-0.355623848025159	-0.45980744795821704	-0.116522919240908	0.21891971538803	0.0128362131864877	0.0439320586268745	0	0
105	0.10620348567640099	0.0849591101064167	0.37174349461161604	0.303529713938898	0.0077028247532973096	0.0508925812950929	0	0
106	-0.31637313905076603	-0.41922826299430105	0.12675518165935099	0.115945372825871	0.0220094275268559	0.051780530808571	0	0
107	-0.197486075107441	0.0868216280215028	0.0782066840791526	-0.21147413930177697	0.0445510171767595	0.0448379862667586	0	0
108	-0.00943548390051633	0.291956830111527	0.000244367326525203	0.123944610983974	0.0593680842796755	0.0292617195282299	0	0
109	-0.0385888725200608	-0.0923966670129787	-0.0643040276280114	-0.162003844357794	0.0256160151775765	0.0210474906555795	0	0
110	0.162932418186605	1.80916419485532	-0.515304506463211	-3.87173054447658	0.0182442699909881	0.0295041832230871	0	0
111	6.71264222274757	8.81234014246083	-15.245882715388902	-19.8911405163147	0.0367699784660022	0.0613701410522956	0	0
112	11.7473235012582	12.5060952909105	-27.1280200732297	-29.1415725244561	0.0458599344525931	0.0950363813139283	0	0
113	13.046630767685402	12.914719899811098	-31.334826803161697	-31.2564367791023	0.0599742422690119	0.145308810057128	0	0
114	12.194442102135902	11.7609840359637	-30.294694147246698	-29.3468854193804	0.0746969749755601	0.190176990880513	0	0
115	11.698535515588802	10.482472462187099	-29.337830083563	-26.282472068060798	0.293314902130717	18.4991737774813	0	0
116	5.651166796026139	3.6924682018939503	-13.3803589493777	-8.38971402176399	5.29269959424758	57.5752534027847	0	0
117	1.61262090043558	0.6984883552648841	-2.60607525937384	-0.44441244403155106	20.987175810307104	92.00689968752751	0	0
118	-0.738500520098854	-1.1213163734619098	3.54687048212729	3.9429728642739903	44.654904142235296	93.46566398855579	0	0
